year,Gender,count,total,share
1918.0,Unknown,89,627,0.1419457735247209
1919.0,Female,26,704,0.036931818181818184
1919.0,Male,645,704,0.9161931818181818
1919.0,Unknown,33,704,0.046875
1920.0,Female,48,1209,0.03970223325062035
1920.0,Male,1057,1209,0.8742762613730356
1920.0,Unknown,104,1209,0.08602150537634409
1921.0,Female,29,837,0.03464755077658303
1921.0,Male,785,837,0.937873357228196
1921.0,Unknown,23,837,0.027479091995221028
1922.0,Female,33,1548,0.02131782945736434
1922.0,Male,915,1548,0.5910852713178295
1922.0,Unknown,600,1548,0.3875968992248062
1923.0,Female,34,1038,0.03275529865125241
1923.0,Male,931,1038,0.896917148362235
1923.0,Unknown,73,1038,0.07032755298651253
1924.0,Female,29,1102,0.02631578947368421
1924.0,Male,1038,1102,0.941923774954628
1924.0,Unknown,35,1102,0.03176043557168784
1925.0,Female,46,1395,0.032974910394265235
1925.0,Male,1218,1395,0.8731182795698925
1925.0,Unknown,131,1395,0.0939068100358423
1926.0,Female,61,1634,0.03733170134638923
1926.0,Male,1495,1634,0.9149326805385557
1926.0,Unknown,78,1634,0.04773561811505508
1927.0,Female,71,895,0.07932960893854749
1927.0,Male,772,895,0.8625698324022346
1927.0,Unknown,52,895,0.05810055865921788
1928.0,Female,51,1483,0.03438975050573163
1928.0,Male,1382,1483,0.9318948078219824
1928.0,Unknown,50,1483,0.033715441672285906
1929.0,Female,191,1218,0.1568144499178982
1929.0,Male,938,1218,0.7701149425287356
1929.0,Unknown,89,1218,0.07307060755336617
1930.0,Female,188,1936,0.09710743801652892
1930.0,Male,1615,1936,0.8341942148760331
1930.0,Unknown,133,1936,0.06869834710743801
1931.0,Female,367,1284,0.28582554517133957
1931.0,Male,783,1284,0.6098130841121495
1931.0,Unknown,134,1284,0.1043613707165109
1932.0,Female,55,1009,0.05450941526263627
1932.0,Male,854,1009,0.846382556987116
1932.0,Unknown,100,1009,0.09910802775024777
1933.0,Female,103,767,0.13428943937418514
1933.0,Male,635,767,0.8279009126466753
1933.0,Unknown,29,767,0.03780964797913951
1934.0,Female,238,1416,0.16807909604519775
1934.0,Male,1107,1416,0.7817796610169492
1934.0,Unknown,71,1416,0.05014124293785311
1935.0,Female,81,824,0.0983009708737864
1935.0,Male,685,824,0.8313106796116505
1935.0,Unknown,58,824,0.0703883495145631
1936.0,Female,105,941,0.11158342189160468
1936.0,Male,789,941,0.8384697130712009
1936.0,Unknown,47,941,0.04994686503719448
1937.0,Female,174,848,0.20518867924528303
1937.0,Male,631,848,0.7441037735849056
1937.0,Unknown,43,848,0.05070754716981132
1938.0,Female,247,905,0.2729281767955801
1938.0,Male,632,905,0.6983425414364641
1938.0,Unknown,26,905,0.028729281767955802
1939.0,Female,82,848,0.09669811320754718
1939.0,Male,723,848,0.8525943396226415
1939.0,Unknown,43,848,0.05070754716981132
1940.0,Female,103,1443,0.07137907137907137
1940.0,Male,1219,1443,0.8447678447678447
1940.0,Unknown,121,1443,0.08385308385308385
1941.0,Female,49,669,0.07324364723467862
1941.0,Male,588,669,0.8789237668161435
1941.0,Unknown,32,669,0.04783258594917788
1942.0,Female,151,894,0.16890380313199105
1942.0,Male,660,894,0.738255033557047
1942.0,Unknown,83,894,0.09284116331096197
1943.0,Female,23,635,0.03622047244094488
1943.0,Male,596,635,0.9385826771653544
1943.0,Unknown,16,635,0.025196850393700787
1944.0,Female,42,1232,0.03409090909090909
1944.0,Male,1098,1232,0.8912337662337663
1944.0,Unknown,92,1232,0.07467532467532467
1945.0,Female,38,724,0.052486187845303865
1945.0,Male,634,724,0.8756906077348067
1945.0,Unknown,52,724,0.0718232044198895
1946.0,Female,138,1400,0.09857142857142857
1946.0,Male,1211,1400,0.865
1946.0,Unknown,51,1400,0.03642857142857143
1947.0,Female,78,711,0.10970464135021098
1947.0,Male,610,711,0.8579465541490858
1947.0,Unknown,23,711,0.03234880450070324
1948.0,Female,109,1554,0.07014157014157014
1948.0,Male,1405,1554,0.9041184041184042
1948.0,Unknown,40,1554,0.02574002574002574
1949.0,Female,67,896,0.07477678571428571
1949.0,Male,807,896,0.9006696428571429
1949.0,Unknown,22,896,0.024553571428571428
1950.0,Female,102,1514,0.06737120211360634
1950.0,Male,1324,1514,0.8745046235138706
1950.0,Unknown,88,1514,0.05812417437252312
1951.0,Female,64,893,0.07166853303471445
1951.0,Male,820,893,0.9182530795072789
1951.0,Unknown,9,893,0.010078387458006719
1952.0,Female,60,937,0.064034151547492
1952.0,Male,861,937,0.9188900747065102
1952.0,Unknown,16,937,0.017075773745997867
1953.0,Female,65,804,0.08084577114427861
1953.0,Male,712,804,0.8855721393034826
1953.0,Unknown,27,804,0.033582089552238806
1954.0,Female,73,753,0.09694555112881806
1954.0,Male,665,753,0.8831341301460823
1954.0,Unknown,15,753,0.0199203187250996
1955.0,Female,29,679,0.042709867452135494
1955.0,Male,597,679,0.8792341678939617
1955.0,Unknown,53,679,0.0780559646539028
