year,Gender,count,total,share
1925.0,Female,22,207,0.10628019323671498
1925.0,Male,163,207,0.7874396135265701
1925.0,Unknown,22,207,0.10628019323671498
1926.0,Female,21,244,0.0860655737704918
1926.0,Male,202,244,0.8278688524590164
1926.0,Unknown,21,244,0.0860655737704918
1927.0,Female,28,228,0.12280701754385964
1927.0,Male,180,228,0.7894736842105263
1927.0,Unknown,20,228,0.08771929824561403
1928.0,Female,29,268,0.10820895522388059
1928.0,Male,215,268,0.8022388059701493
1928.0,Unknown,24,268,0.08955223880597014
1929.0,Female,30,237,0.12658227848101267
1929.0,Male,191,237,0.8059071729957806
1929.0,Unknown,16,237,0.06751054852320675
1930.0,Female,37,359,0.10306406685236769
1930.0,Male,284,359,0.7910863509749304
1930.0,Unknown,38,359,0.10584958217270195
1931.0,Female,31,229,0.13537117903930132
1931.0,Male,171,229,0.7467248908296943
1931.0,Unknown,27,229,0.11790393013100436
1932.0,Female,18,220,0.08181818181818182
1932.0,Male,181,220,0.8227272727272728
1932.0,Unknown,21,220,0.09545454545454546
1933.0,Female,17,175,0.09714285714285714
1933.0,Male,139,175,0.7942857142857143
1933.0,Unknown,19,175,0.10857142857142857
1934.0,Female,24,195,0.12307692307692308
1934.0,Male,142,195,0.7282051282051282
1934.0,Unknown,29,195,0.14871794871794872
1935.0,Female,20,231,0.08658008658008658
1935.0,Male,190,231,0.8225108225108225
1935.0,Unknown,21,231,0.09090909090909091
1936.0,Female,22,219,0.1004566210045662
1936.0,Male,173,219,0.7899543378995434
1936.0,Unknown,24,219,0.1095890410958904
1937.0,Female,25,216,0.11574074074074074
1937.0,Male,168,216,0.7777777777777778
1937.0,Unknown,23,216,0.10648148148148148
1938.0,Female,25,218,0.11467889908256881
1938.0,Male,177,218,0.8119266055045872
1938.0,Unknown,16,218,0.07339449541284404
1939.0,Female,10,203,0.04926108374384237
1939.0,Male,172,203,0.8472906403940886
1939.0,Unknown,21,203,0.10344827586206896
1940.0,Female,29,261,0.1111111111111111
1940.0,Male,202,261,0.7739463601532567
1940.0,Unknown,30,261,0.11494252873563218
1941.0,Female,28,232,0.1206896551724138
1941.0,Male,180,232,0.7758620689655172
1941.0,Unknown,24,232,0.10344827586206896
1942.0,Female,23,230,0.1
1942.0,Male,192,230,0.8347826086956521
1942.0,Unknown,15,230,0.06521739130434782
1943.0,Female,13,140,0.09285714285714286
1943.0,Male,121,140,0.8642857142857143
1943.0,Unknown,6,140,0.04285714285714286
1944.0,Female,16,163,0.09815950920245399
1944.0,Male,129,163,0.7914110429447853
1944.0,Unknown,18,163,0.11042944785276074
1945.0,Female,21,185,0.11351351351351352
1945.0,Male,151,185,0.8162162162162162
1945.0,Unknown,13,185,0.07027027027027027
1946.0,Female,23,237,0.0970464135021097
1946.0,Male,185,237,0.7805907172995781
1946.0,Unknown,29,237,0.12236286919831224
1947.0,Female,25,239,0.10460251046025104
1947.0,Male,197,239,0.8242677824267782
1947.0,Unknown,17,239,0.07112970711297072
1948.0,Female,30,257,0.11673151750972763
1948.0,Male,200,257,0.7782101167315175
1948.0,Unknown,27,257,0.10505836575875487
1949.0,Female,25,276,0.09057971014492754
1949.0,Male,237,276,0.8586956521739131
1949.0,Unknown,14,276,0.050724637681159424
1950.0,Female,34,349,0.09742120343839542
1950.0,Male,289,349,0.828080229226361
1950.0,Unknown,26,349,0.07449856733524356
1951.0,Female,31,245,0.12653061224489795
1951.0,Male,206,245,0.8408163265306122
1951.0,Unknown,8,245,0.0326530612244898
1952.0,Female,30,293,0.10238907849829351
1952.0,Male,251,293,0.856655290102389
1952.0,Unknown,12,293,0.040955631399317405
1953.0,Female,23,268,0.08582089552238806
1953.0,Male,227,268,0.8470149253731343
1953.0,Unknown,18,268,0.06716417910447761
1954.0,Female,28,262,0.10687022900763359
1954.0,Male,224,262,0.8549618320610687
1954.0,Unknown,10,262,0.03816793893129771
1955.0,Female,19,300,0.06333333333333334
1955.0,Male,256,300,0.8533333333333334
1955.0,Unknown,25,300,0.08333333333333333
1956.0,Female,25,269,0.09293680297397769
1956.0,Male,228,269,0.8475836431226765
1956.0,Unknown,16,269,0.05947955390334572
1957.0,Female,25,272,0.09191176470588236
1957.0,Male,234,272,0.8602941176470589
